Asset ID,Asset,Consequence Score,Threat ID,Threat,Vulnerability ID,Vulnerability,Likelihood Score,Overall Score,Action,Initial Treatment Direction,Risk Source,Event / Incident,Risk Owner,ISO 27001 / ISO 27017 Control,Status,Evidence / Notes,Likelihood Justification
A1,Public web dashboard / PHP app,5,A1T1,Unauthorised public viewing of dashboard data,A1T1V1,Web security group allows HTTP from 0.0.0.0/0 and the dashboard displays operational/personnel data,4,20,TREAT,Control / Mitigation,External attacker,Anyone with the public IP can view the dashboard,Pantelis,A.9 Access control / A.13 Network security,Planned,"cfstack.yml lines 205-215, 307-354; dashboard screenshot needed",Public HTTP is explicitly configured and the app renders data in the page.
A1,Public web dashboard / PHP app,5,A1T2,Personnel data disclosure through the dashboard,A1T2V1,"Application renders personnel_data fields and seed data contains names, contacts, roles and clearance levels",4,20,TREAT,Control / Mitigation,External attacker / data exposure,Employee information is shown to an unauthorised viewer,Pantelis,A.8 Asset management / A.9 Access control / A.18 Compliance,Planned,cfstack.yml lines 326-337; DBLoad.js 38-54,The sensitive fields are directly present in the seed file and display code.
A1,Public web dashboard / PHP app,4,A1T3,Technical information disclosure,A1T3V1,PHP display_errors is enabled and database connection exceptions are printed to users,4,16,TREAT,Control / Mitigation,External attacker,Application failure exposes technical information in the browser,Pantelis,A.12 Operations security / A.14 Secure development,Planned,"cfstack.yml lines 267-278, 363-365",The CloudFormation UserData explicitly enables error display and prints exception messages.
A1,Public web dashboard / PHP app,5,A1T4,Unsafe application to database connection,A1T4V1,PHP app connects to MongoDB using the Mongo EC2 public IP and a mongodb:// URI,4,20,TREAT,Control / Mitigation,Design weakness,The application reaches the database through public addressing rather than a private controlled path,Pantelis / Mike,A.10 Cryptography / A.13 Network security,Planned,cfstack.yml lines 282-283,The public IP and plain MongoDB URI are visible in the application setup.
A1,Public web dashboard / PHP app,5,A1T1,Unauthorised public viewing of dashboard data,A1T1V2,No authentication gate is shown before the dashboard renders data,4,20,TREAT,Control / Mitigation,External attacker,Unauthenticated visitor reaches the dashboard page,Pantelis,A.9 Access control / OWASP Broken Access Control,Planned,cfstack.yml lines 274-365,The generated PHP page renders data directly and no login check is visible in the reviewed code.
A1,Public web dashboard / PHP app,4,A1T5,Unencrypted public web access,A1T5V1,CloudFormation template defines HTTP port 80 and no HTTPS or TLS termination evidence is shown in reviewed files,4,16,TREAT,Control / Mitigation,External attacker,Users access the dashboard over unencrypted HTTP,Pantelis,A.10 Cryptography / A.13 Network security,Planned,cfstack.yml lines 205-215; no HTTPS listener certificate or TLS termination resource found in reviewed CloudFormation template,OWASP lists cryptographic failures as a major web risk; live AWS console should confirm whether any external TLS layer exists.
A1,Public web dashboard / PHP app,4,A1T6,Software supply chain weakness during bootstrapping,A1T6V1,Composer installer and PECL package installation run during instance boot without checksum verification shown,3,12,TREAT OR JUSTIFY,Control or Retention,External dependency / process failure,Instance build depends on external package downloads during boot,Pantelis,A.12 Operations security / A.14 Secure development,Planned,cfstack.yml lines 256-265,"Likelihood is medium because the risk depends on package/download compromise or failure, but the boot-time dependency is visible."
A1,Public web dashboard / PHP app,4,A1T7,Unauthorised modification of web files after instance access,A1T7V1,Web root ownership and permissions are changed recursively to apache:apache and 755,3,12,TREAT OR JUSTIFY,Control or Retention,Compromised instance or process,An attacker with process-level access may alter dashboard files more easily,Pantelis,A.9 Access control / A.12 Operations security,Needs instance check,cfstack.yml lines 369-374,"Likelihood is medium because it depends on instance compromise, but the permission change is visible in code."
A1,Public web dashboard / PHP app,4,A1T8,Weak application change control,A1T8V1,Application source is generated inside EC2 UserData startup script rather than stored as a reviewed application file,3,12,TREAT OR JUSTIFY,Control or Retention,Process failure,Dashboard code changes are harder to review and test separately from infrastructure changes,Pantelis,A.12 Change control / A.14 Secure development,Planned,cfstack.yml lines 273-367,Likelihood is medium because this is a maintainability and review risk in the deployment design.
A1,Public web dashboard / PHP app,4,A1T9,Unbounded dashboard data exposure,A1T9V1,"MongoDB find() is used without limit, pagination, projection or filtering on displayed collections",3,12,TREAT OR JUSTIFY,Control or Retention,External attacker / application design weakness,Dashboard may render all available records and selected sensitive fields,Pantelis,A.9 Access control / A.14 Secure development,Planned,"cfstack.yml lines 314, 331, 348","Likelihood is medium because current seed data is small, but the code pattern would expose more records if added."
A1,Public web dashboard / PHP app,3,A1T10,Fragile rendering causes warning disclosure,A1T10V1,Timestamp rendering assumes valid timestamp objects while E_ALL and display_errors are enabled,3,9,TREAT OR JUSTIFY,Control or Retention,Data quality issue / external attacker if data can be influenced,Malformed or missing timestamp values may expose warnings or break the page,Pantelis,A.12 Operations security / A.14 Secure development,Planned,"cfstack.yml lines 276-278, 320, 351","Likelihood is medium-low because current seed timestamps are valid, but the error display configuration makes failures visible."
A2,MongoDB EC2 database,5,A2T1,External attacker connects directly to database,A2T1V1,MongoDB security group allows 27017 from 0.0.0.0/0 and MongoDB binds to 0.0.0.0,5,25,TREAT,Control / Mitigation,External attacker,Internet host attempts direct MongoDB connection,Mike,A.9 Access control / A.13 Network security / ISO 27017 cloud network controls,Planned,"cfstack.yml lines 154-164, 193-195; MongoDB SG screenshot needed",The database port is internet-open and MongoDB listens on all interfaces.
A2,MongoDB EC2 database,5,A2T2,Database exposed in public tier,A2T2V1,MongoDB EC2 is deployed in PublicSubnet1 and the stack outputs the database public IP,5,25,TREAT,Control / Mitigation,Cloud misconfiguration,Database becomes discoverable and reachable as a public cloud asset,Mike / Shared,A.13 Network security / ISO 27017 shared responsibility,Planned,"cfstack.yml lines 170-177, 428-430",Public subnet placement and public IP output are concrete deployment properties.
A2,MongoDB EC2 database,5,A2T1,Weak database authentication setup,A2T1V2,MongoDB user creation and security.authorization are not shown in the reviewed UserData script,4,20,TREAT,Control / Mitigation,External attacker,Database service may not require application-specific authenticated access until configured,Mike,A.9 Access control / MongoDB Security Checklist,Needs AWS check,cfstack.yml lines 179-195; MongoDB auth check needed,MongoDB's security checklist recommends access control and authentication; the reviewed UserData startup script does not show this setup.
A2,MongoDB EC2 database,5,A2T5,Unencrypted database communication,A2T5V1,MongoDB TLS configuration is not shown for server or client connection,4,20,TREAT,Control / Mitigation,External attacker,Database traffic may be sent without transport encryption,Mike,A.10 Cryptography / MongoDB TLS guidance,Planned,cfstack.yml lines 179-195 and 282-283,MongoDB recommends TLS for incoming and outgoing connections; the reviewed files do not show TLS options.
A2,MongoDB EC2 database,5,A2T6,Weak recovery after data loss,A2T6V1,"No EBS snapshot, AWS Backup, or restore process is defined in the CloudFormation baseline",3,15,TREAT OR JUSTIFY,Control or Retention,Human error / system failure,Database data is lost and no recovery evidence is available from the CloudFormation baseline,Mike,A.17 Continuity / A.12 Operations security,Needs AWS check,No backup resource is defined in cfstack.yml; AWS Backup screenshot needed,Likelihood is medium because absence is from reviewed baseline files only; impact is high because data is central to the app.
A2,MongoDB EC2 database,4,A2T7,Database software supply chain or install failure,A2T7V1,MongoDB repository and GPG key are added during instance boot from external URLs,3,12,TREAT OR JUSTIFY,Control or Retention,External dependency / process failure,Database build depends on external repository availability and trust during boot,Mike,A.12 Operations security / A.14 Secure development,Planned,cfstack.yml lines 183-189,"Likelihood is medium because the dependency is visible, but compromise or outage is not proven."
A2,MongoDB EC2 database,4,A2T8,Single instance database outage,A2T8V1,MongoDB is deployed as one EC2 instance with no replica set or failover resource shown,3,12,TREAT OR JUSTIFY,Control or Retention,System failure,Database instance failure stops the dashboard from reading data,Mike,A.17 Continuity / A.12 Operations security,Needs AWS check,cfstack.yml lines 170-195; no replica set resource shown,"Likelihood is medium because single-instance deployment is visible, but actual uptime depends on AWS and usage."
A2,MongoDB EC2 database,4,A2T9,Unsupported or unverified database patch state,A2T9V1,MongoDB is installed at boot but no post-deployment patch verification process is shown,3,12,TREAT OR JUSTIFY,Control or Retention,Process failure,Database package may become outdated without a documented review process,Mike,A.12 Operations security / A.6 Organization of information security,Needs AWS check,cfstack.yml lines 183-195; patch status screenshot needed,Likelihood is medium because install is visible but live patch state requires AWS verification.
A2,MongoDB EC2 database,4,A2T10,Data exfiltration from compromised database host,A2T10V1,MongoSecurityGroup defines inbound rules but no restrictive egress rules are shown,3,12,TREAT OR JUSTIFY,Control or Retention,External attacker after compromise,Stolen database data could leave the host through default outbound access,Mike,A.13 Network security / A.12 Operations security,Needs AWS check,cfstack.yml lines 154-164; no restrictive outbound rule evidence found for Mongo SG,"Likelihood is medium because exploitation first needs compromise, but egress restriction is not defined in reviewed baseline files."
A2,MongoDB EC2 database,5,A2T11,Exposure of database data at rest,A2T11V1,"No explicit encrypted EBS volume, KMS key or BlockDeviceMappings are shown for the MongoDB instance",3,15,TREAT OR VERIFY,Verify then Control / Retention,Cloud misconfiguration,Stored database files may not have evidenced encryption at rest,Mike,A.10 Cryptography / A.8 Asset management,Needs AWS check,cfstack.yml lines 170-195; EBS encryption screenshot needed,"Likelihood is medium because account-level EBS encryption may exist, but it is not evidenced in the reviewed CloudFormation template."
A2,MongoDB EC2 database,5,A2T12,Unverified restore capability,A2T12V1,"No mongodump, snapshot, AWS Backup, retention or restore procedure is shown in reviewed files",3,15,TREAT OR VERIFY,Verify then Control / Retention,System failure / human error,The team cannot prove recovery after data loss or instance failure,Mike,A.17 Continuity / A.12 Operations security,Needs AWS check,cfstack.yml lines 170-195; backup and restore evidence needed,"Likelihood is medium because absence is from reviewed baseline files only, but recovery failure is credible for a self-hosted database."
A3,Personnel and operational data,5,A3T1,Database data breach,A3T1V1,Database seed contains personnel records and operational logs,4,20,TREAT,Control / Mitigation,Data exposure,A database breach exposes employee and operational information,Mike,A.8 Asset classification / A.9 Access control / A.18 Compliance,Planned,DBLoad.js 38-91,Sensitive data exists in the database and other rows show public exposure paths.
A3,Personnel and operational data,4,A3T2,Operational information disclosure through dashboard,A3T2V1,The dashboard displays operational logs and event details from system_operational_logs,4,16,TREAT,Control / Mitigation,External attacker / data exposure,Operational events and subsystem details are viewed through the public dashboard,Pantelis / Mike,A.8 Asset management / A.9 Access control,Planned,cfstack.yml lines 343-354; DBLoad.js 56-91,The dashboard display code and seed data show operational log details available to the application.
A3,Personnel and operational data,4,A3T3,Exposure of city sensor and transport data,A3T3V1,"Seed data includes traffic flow, air quality and transport service alert records",3,12,TREAT OR JUSTIFY,Control or Retention,Data exposure,City operations data is viewed or copied outside the intended team,Pantelis / Mike,A.8 Asset management / A.13 Network security,Planned,DBLoad.js 9-36 and 56-91,Likelihood is medium because sensitivity is lower than personnel data but exposure paths exist.
A3,Personnel and operational data,4,A3T4,Poor data classification,A3T4V1,No classification or handling label is shown for personnel or operational data in the repo,3,12,TREAT OR JUSTIFY,Control or Retention,Process failure,Team may treat sensitive and non-sensitive records the same way,Pantelis / Mike,A.8 Asset classification,Planned,DBLoad.js 9-91; documentation check needed,Likelihood is medium because the data exists but classification process is not shown in reviewed files.
A3,Personnel and operational data,4,A3T5,Data integrity weakness,A3T5V1,"No schema validation, required field checks or collection validators are shown before inserting or displaying records",3,12,TREAT OR JUSTIFY,Control or Retention,Bad data / unauthorised write after DB exposure,Malformed records may affect dashboard output or decision making,Mike,A.12 Operations security / A.14 Secure development,Planned,DBLoad.js 10-91; cfstack.yml lines 314-354,"Likelihood is medium because malformed data requires write access or bad seed data, but exposed DB design increases concern."
A3,Personnel and operational data,3,A3T6,Duplicate or inconsistent records,A3T6V1,No unique indexes are shown for record_id employee_id or log_id,3,9,TREAT OR JUSTIFY,Control or Retention,Human error / bad data load,Duplicate logical records may reduce trust in dashboard data,Mike,A.12 Operations security / A.14 Secure development,Planned,DBLoad.js 10-91; index creation not shown,"Likelihood is medium-low because current seed data is small, but repeated inserts can create inconsistent records."
A4,"VPC, subnets and routing",5,A4T1,Weak separation between public and private tiers,A4T1V1,Private subnets exist but MongoDB and webserver are both placed in PublicSubnet1,4,20,TREAT,Control / Mitigation,Cloud misconfiguration,Internal database service is not separated from the public tier,Shared,A.13 Network security / ISO 27017 cloud network controls,Planned,"cfstack.yml lines 75-95, 170-177, 221-229",The CloudFormation template creates private subnets but does not place MongoDB there.
A4,"VPC, subnets and routing",5,A4T2,Internet exposure of internal services,A4T2V1,Public subnets assign public IPs and public route table sends 0.0.0.0/0 to the internet gateway,4,20,TREAT,Control / Mitigation,External attacker,Resources in the public subnet can become reachable from the internet,Shared,A.13 Network security,Planned,"cfstack.yml lines 49-68, 109-115",AWS public subnet behaviour is defined by public IP assignment and route to internet gateway.
A4,"VPC, subnets and routing",4,A4T3,Limited network visibility during attack or misuse,A4T3V1,VPC Flow Logs are not defined in the reviewed CloudFormation baseline,3,12,TREAT OR JUSTIFY,Control or Retention,External attacker / investigation gap,Suspicious traffic is harder to investigate after an incident,Shared,A.12 Logging and monitoring / A.16 Incident management,Needs AWS check,No VPC Flow Logs resource is defined in cfstack.yml; AWS console check needed,"Likelihood is medium because it is an evidence gap in the CloudFormation baseline, not proof that logging is absent in AWS."
A4,"VPC, subnets and routing",4,A4T3,Late detection of service problems,A4T3V2,CloudWatch alarms for webserver or MongoDB are not defined in the reviewed CloudFormation template,3,12,TREAT OR JUSTIFY,Control or Retention,System failure / investigation gap,Service issues or attack symptoms may not alert the team quickly,Shared,A.12 Logging and monitoring / A.16 Incident management,Needs AWS check,No CloudWatch alarm resource is defined in cfstack.yml; AWS console check needed,Likelihood is medium because this is based on reviewed baseline files and requires AWS console confirmation.
A4,"VPC, subnets and routing",5,A4T4,Over permissive database security group source,A4T4V1,MongoDB security group uses 0.0.0.0/0 instead of the webserver security group as source,5,25,TREAT,Control / Mitigation,Cloud misconfiguration,Database accepts traffic attempts from any internet address instead of only the application tier,Shared,A.9 Access control / A.13 Network security,Planned,cfstack.yml lines 154-164 and 205-215,Likelihood is high because the public source is explicitly configured in the database security group.
A4,"VPC, subnets and routing",4,A4T5,No controlled administrative access pattern shown,A4T5V1,CloudFormation template uses an EC2 key pair parameter but does not show SSM Session Manager or bastion pattern,3,12,TREAT OR JUSTIFY,Control or Retention,Admin process weakness,Instance management may rely on direct key-based access outside a controlled access process,Shared,A.9 Access control / A.13 Network security,Needs AWS check,"cfstack.yml lines 13-15, 175, 226, 414",Likelihood is medium because key pair use is visible but actual admin practice needs confirmation.
A4,"VPC, subnets and routing",4,A4T6,No network ACL hardening shown,A4T6V1,The CloudFormation baseline does not define custom network ACL rules for public and private subnet boundaries,3,12,TREAT OR JUSTIFY,Control or Retention,Cloud misconfiguration,Subnet-level filtering is not documented in the reviewed baseline files,Shared,A.13 Network security,Needs AWS check,No custom Network ACL resource is defined in cfstack.yml,Likelihood is medium because absence is from reviewed baseline files and must be checked in AWS.
A4,"VPC, subnets and routing",4,A4T7,Accidental future internet exposure,A4T7V1,Public subnets auto-assign public IPs so later EC2 resources placed there become public by default,4,16,TREAT,Control / Mitigation,Cloud misconfiguration,Future resources inherit public exposure by subnet placement mistake,Shared,A.13 Network security / AWS SEC05,Planned,cfstack.yml lines 49-68,Likelihood is high-medium because MapPublicIpOnLaunch is explicitly enabled on both public subnets.
A4,"VPC, subnets and routing",5,A4T8,Data exfiltration after host compromise,A4T8V1,Security groups define inbound rules but no restrictive SecurityGroupEgress rules are shown,4,20,TREAT,Control / Mitigation,External attacker after compromise,Compromised web database or VDI host can make outbound connections without CloudFormation-level egress restriction,Shared,A.13 Network security / AWS SEC05,Needs AWS check,"cfstack.yml lines 154-164, 205-215, 391-401; no restrictive outbound rule evidence found","Likelihood is high-medium because egress restriction is not defined in reviewed baseline files, though AWS console must confirm final rules."
A4,"VPC, subnets and routing",4,A4T9,No second subnet-level network filter shown,A4T9V1,No custom Network ACL resources are defined for public and private subnet boundaries,3,12,TREAT OR JUSTIFY,Control or Retention,Cloud misconfiguration,Subnet boundary filtering relies mainly on security groups in the reviewed CloudFormation template,Shared,A.13 Network security / AWS SEC05,Needs AWS check,cfstack.yml lines 49-95; no AWS::EC2::NetworkAcl resource is defined,Likelihood is medium because this is based on reviewed CloudFormation absence and should be checked in AWS.
A4,"VPC, subnets and routing",3,A4T10,Failed secure migration to private subnets,A4T10V1,Private subnets exist but no NAT Gateway or VPC endpoints are defined for private workload package installs,3,9,TREAT OR JUSTIFY,Control or Retention,Design weakness,Moving workloads private may break boot-time package installation without additional egress design,Shared,A.13 Network security / A.12 Operations security,Planned,"cfstack.yml lines 75-95, 129-149, 183-189, 239-265","Likelihood is medium-low because this affects the future secure design, not the current public deployment only."
A5,CloudFormation deployment and seed script,4,A5T1,Insecure CloudFormation baseline remains after setup,A5T1V1,CloudFormation baseline environment contains open security group rules and public service exposure,4,16,TREAT,Control / Mitigation,Project baseline,The same insecure baseline can remain if the group only documents it and does not treat it later,Shared,A.12 Change control / A.14 Secure development,Planned,"cfstack.yml lines 2, 154-164, 205-215",The insecure settings are visible in the baseline and should be treated later rather than just described.
A5,CloudFormation deployment and seed script,4,A5T2,Accidental data loss during testing,A5T2V1,DBLoad.js drops all three collections before inserting seed data,3,12,TREAT OR JUSTIFY,Control or Retention,Human error,Script is run against an environment containing data that should be retained,Shared,A.12 Change control / A.17 Continuity,Planned,DBLoad.js 4-7,"Likelihood is lower because it depends on script execution, but the destructive action is in code."
A5,CloudFormation deployment and seed script,4,A5T3,Controls not recorded clearly after changes,A5T3V1,Security changes made in AWS console may be hard to prove if screenshots and notes are not kept,4,16,TREAT,Control / Mitigation,Process failure,The team cannot clearly show what changed and why,Shared,A.12 Change control / A.14 Secure development,Planned,"cfstack.yml lines 154-164, 205-215, 391-401",Likelihood is medium because this is a process risk unless evidence is collected consistently.
A5,CloudFormation deployment and seed script,3,A5T4,Limited deployment audit trail in coursework evidence,A5T4V1,Screenshots and command outputs are not yet attached to the repo evidence folder,3,9,TREAT OR JUSTIFY,Control or Retention,Process failure,The group cannot prove what was deployed or checked during assessment,Shared,A.12 Operations security / A.18 Compliance,Needs evidence,Repository docs/evidence folder check,"Likelihood is medium because this is a current evidence gap, not a technical exploit."
A5,CloudFormation deployment and seed script,4,A5T5,Unverified machine image baseline,A5T5V1,Linux and Windows AMI IDs are hard-coded instead of using a patch-tracked parameter or Launch Template,3,12,TREAT OR JUSTIFY,Control or Retention,Process failure,Instances may start from images whose patch status has not been evidenced,Shared,A.8.8 Vulnerability management / A.8.9 Configuration management,Planned,"cfstack.yml lines 178, 229, 413",Likelihood is medium because AMI patch status must be verified in AWS.
A5,CloudFormation deployment and seed script,4,A5T6,Data loss during environment rebuild,A5T6V1,"No separate data volume, snapshot protection or rebuild recovery evidence is shown for MongoDB",3,12,TREAT OR VERIFY,Verify then Control / Retention,Cloud deployment failure,Rebuilding the environment may remove database data if recovery is not prepared,Shared,A.8.13 Information backup / A.8.32 Change management,Needs AWS check,cfstack.yml lines 170-195,Likelihood is medium because data persistence and backup controls need AWS verification.
A6,Optional Windows VDI,4,A6T1,Remote desktop attack surface if GroupSize is 3,A6T1V1,Optional RDP security group allows 3389 from 0.0.0.0/0 and VDI is in PublicSubnet1,4,16,TREAT IF USED,Avoidance if not used / Control if used,External attacker,Public internet hosts can attempt remote desktop access if VDI is deployed,Shared,A.9 Access control / A.13 Network security,Treat if used,"cfstack.yml lines 17-18, 391-417",The risk only applies when the optional VDI condition is used.
A6,Optional Windows VDI,4,A6T2,Accidental public RDP deployment,A6T2V1,GroupSize 3 silently creates VDI with public RDP exposure controlled by a group-size parameter,3,12,TREAT IF USED,Avoidance if not used / Control if used,Configuration mistake,A group size change creates a security-sensitive public remote access host,Shared,A.5.8 Project management / A.13 Network security,Treat if used,"cfstack.yml lines 8-18, 391-417","Likelihood is medium because it depends on GroupSize 3, but the conditional deployment is explicit."
A6,Optional Windows VDI,4,A6T3,Unhardened remote access host,A6T3V1,Windows VDI has public RDP but no visible UserData startup script hardening SSM path IAM role logging or patch baseline,4,16,TREAT IF USED,Avoidance if not used / Control if used,External attacker,Public remote host is deployed without hardening evidence in the reviewed CloudFormation template,Shared,A.8.8 Vulnerability management / A.8.16 Monitoring activities,Needs AWS check,cfstack.yml lines 408-417,Likelihood is high-medium if VDI is used because public RDP is visible and hardening is not shown in reviewed baseline files.
A6,Optional Windows VDI,5,A6T4,Lateral movement after VDI compromise,A6T4V1,VDI webserver and MongoDB are all placed in PublicSubnet1,3,15,TREAT IF USED,Avoidance if not used / Control if used,External attacker after compromise,Compromised VDI is close to the web and database tier in the same subnet,Shared,A.13 Network security / AWS SEC05,Treat if used,"cfstack.yml lines 415, 225, 174","Likelihood is medium because compromise is a prior condition, but shared subnet placement is explicit."
